handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_857c89bd-6eb2-8713-47b8-5327d14e7218,Variant,,,,,,,,0.1,true,,,6,0.075,,,,150ml couvercle alu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_857c89bd-6eb2-8713-47b8-5327d14e7218,Variant,,,,,,,,0.2,true,,,6,0.075,,,,200ml couvercle alu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a25e4d37-6e48-c16a-0a88-4b24a0b9d509,Product,Rhassoul (Ghassoul) extra fin du Maroc,"<p>Le Rhassoul est une poudre d'argile naturelle d’origine montagneuse extrait&nbsp;des roches du Maroc. Utilisé depuis des siècles pour nettoyer et purifier en douceur les impuretés de la peau, du cuir chevelu et des cheveux.&nbsp;Le rhassoul offre des bienfaits nettoyants, apaisants, absorbants, purifiants, assainissants, détoxifiants et régénérateurs grâce aux vitamines, minéraux et oligoéléments qu'il&nbsp;contient.</p><p>&nbsp;</p><p>Apprécié:</p><p>Par les peaux acnéiques, normales à grasses, sèches, sensibilisées, ternes, fatiguées, irrégulières et souffrant de&nbsp;&nbsp;points noirs. Utilisé en masque il nettoie, détoxifie, purifie et nourrit la peau en douceur et en profondeur en absorbant l'excès de sébum sans l'agresser et laissant la peau douce, soyeuse, éclatante et tonique.&nbsp;En gommage il élimine&nbsp;les couches de peau morte libèrant ainsi les pores et peut donc être utilisé pour gommer naturellement le visage.</p><p>&nbsp;</p><p>Par les cheveux mixtes à gras, ternes, sans vie et par les chevelus irrités et sensibles.</p><p>En masque, il agit comme un shampooing naturel, il dégraisse et purifie en absorbant et régulant l'excès de sébum et nettoie les cheveux et le cuir chevelu sans les agresser. Il&nbsp;les revitalise, redonne de l'éclat et vitalité aux cheveux.</p><p>- S'utilise comme shampoing, après shampoing, clarifiant ou détoxe, le rhassoul aide à éliminer les résidus des produits utilisés antérieurement&nbsp;&nbsp;(pose 5 à 10 minutes) ou masque (10 à 20 minutes)</p><p>&nbsp;</p><p><span><span><span><span><span>Pour le visage, prélever une quantité nécessaire de rhassoul avant de faire le mélange. Pour les cheveux, Il vous faudra en total (si mélangé à d'autres poudres)+/- de 75g pour cheveux très court. Entre +/- 100g (mi-long) et 200g voir plus selon la longueur de vos cheveux.</span></span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span><strong><span>Preparation&nbsp;</span></strong><strong><span>de la pâte</span></strong></span></span></span></span></p><p><span><span><span><span><span>- Dans un récipient&nbsp;non métallique, écrasez&nbsp;bien les grumeaux avec un pinceau applicateur en plastique.&nbsp;</span></span></span></span></span></p><p><span><span><span><span><span>- Puis ajoutez&nbsp;un peu d'eau&nbsp;tiède (commencer par 50% d'eau par rapport au poids/volume). Rajoutez&nbsp;de l'eau et bien mélanger jusqu'à l'obtention d'une consistance d'un yogourt.</span></span></span></span></span></p><p><span><span><span><span><span>- &nbsp;Appliquez le mélange à l'aide d'un pinceau ou simplement avec le mains (en option avec les gants), laissez poser puis rincez à l'eau claire tout en massageant&nbsp;le cuir chevelu ou le visage afin de déloger tout résidu.</span></span></span></span></span></p><p>Suivant l'usage que vous souhaitez faire avec le rhassoul, vous pouvez remplacer ou mélanger l'eau par un hydrolat/eau florale (rose: régule l'excès de sébum, aloe: hydrate, immortel: anti-âge, fleur d'oranger: apaise, tilleul: pour l'éclat, lavande: purifie). Vous pouvez également ajouter quelques gouttes de votre huile préférée pour nourrir la peau ou cuir chevelu.</p><p>&nbsp;</p><p><strong>Avertissements</strong></p><p>Il est vivement recommandé de faire un test sur votre peau. Préparez et appliquez une petite quantité (creux de l'avant-bras ou derrière une oreille)&nbsp;et attendre 72 heures avant d'utiliser&nbsp;le produit.&nbsp;</p><p>&nbsp;</p><p>Les informations ci-dessus sont communiquées à titre informatif uniquement&nbsp;en fonction de la réputation générale des&nbsp;produits liée à&nbsp;cette fiche.&nbsp;</p><p>Ne pas manipuler le produit près d'une source de ventilation et ne pas le respirer.</p>",a6901a_4a6583b9f5e54982ad538c49b597e892~mv2.jpeg,Shampoings;Soin des cheveux;Soins du visage;Vegan;Soins de la peau;Ingrédients DIY,,Masque et coloration végétale,15.0,,false,PERCENT,0.0,0,,,Poids,DROP_DOWN,200g sachet ziplock,,,,,,,,,,,,,,,,Forme,"<p>Poudre extra&nbsp;fine</p>
",,,,,,,,,,,,,,,,,
product_a25e4d37-6e48-c16a-0a88-4b24a0b9d509,Variant,,,,,,,,,true,,,2,0.075,,,,200g sachet ziplock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2968d2f8-3e9c-635e-59fd-586dfcdb9935,Product,'Oasis'- Crème anhydre peaux sèches,"<p>Au secour des peaux sèches, 'Oasis' - crème anhydre (sans eau ajoutée) est efficace pour maintenir&nbsp;une hydratation profonde et un confort abosolu!&nbsp;</p><p>&nbsp;</p><p>Fabriqué à Genève et formulé par des professionnels en cosmétiques naturels, élaboré avec des ingrédients sélectionnés avec soin, cette crème visage aux multiples bienfaits hydratants et anti-âge est produit avec des ingrédients phares issus du monde végétal de :</p><p>&nbsp;</p><p><strong>Extrait d'Avoine bio : </strong></p><p>Antioxydant, combat&nbsp;contre le vieillissement de la peau<strong> </strong></p><p>Hydratant, anti-inflammatoire et émollient,&nbsp;protège la peau des agressions extérieures et maintient la peau durablement hydratée</p><p><strong>Extrait de Calendula bio</strong>: Antioxydant,&nbsp;hydratant, calmant, apaisant et&nbsp;adoucissant</p><p><strong>Extrait de Mauve d'Auverge bio:</strong>&nbsp;Antioxydant, apaisant, emollient&nbsp;et adoucissant</p><p><strong>Glycérine Végétale</strong>: Hydrate et assouplit</p><p><strong>Beurre de Karité</strong>: Nourrit et répare</p><p><strong>Amidon de riz</strong>:&nbsp;Absorbe&nbsp;le sébum et matifie</p><p>&nbsp;</p><p>Cette crème unisex sans eau ni conservateur ajoutés d'une&nbsp;texture&nbsp;gel riche et concentrée&nbsp;aux effets nourrissants, hydratants, apaisants, assouplissants et anti-âge soulage les peaux les plus assoiffées tout en apportant son action anti-oxydante.</p><p>&nbsp;</p><p>Elle s'utilise matin et/ou soir non seulement sur le visage mais également &nbsp;excellente sur le&nbsp;contour des yeux, lèvres ainsi que sur le cou. S'utilise&nbsp;seule ou en l'associant avec une huile ou un sérum pour un bienfait supplémentaire selon le résultat souhaité. En été ou pour un effet plus léger, appliquer sur l'ensemble du visage préalablement humidifié (eau, eau florales/hydrolats, lotion tonique) et si vraiement nécessaire retirer l'excédent en tapotant dessus avec un tissu démaquillant.</p><p>&nbsp;</p><p>Pour une meilleure absorption et également pour booster la circulation, il est conseillé de bien masser le produit sur l'ensemble du visage et du cou.</p><p>&nbsp;</p><p>Vous pouvez décupler les bienfaits, en l'associant &nbsp;avec notre sérum caviar au couleur perle (anti-âge, anti-pollution et illuminateur) et&nbsp;retrouvez une peau plus hydratée, nourrie, apaisée, douce, tonique, &nbsp;lumineuse et protégée des agressions extérieures (pollution et les rayons UV) et contre le vieillissement prématuré de la peau.&nbsp;</p><p>&nbsp;</p><p><em>Produit testé sous contrôle dermatologique. Non testé sur les animaux.</em></p><p>&nbsp;</p><p>INGREDIENTS : PROPANEDIOL, BUTYLENE GLYCOL, GLYCERIN, BUTYROSPERMUM PARKII (SHEA) BUTTER, C15-19 ALKANE, ORYZA SATIVA (RICE) STARCH, AQUA (WATER), INULIN LAURYL CARBAMATE, POLYACRYLATE CROSSPOLYMER-6, SACCHARIDE ISOMERATE, PARFUM (FRAGRANCE), T-BUTYL ALCOHOL, CITRIC ACID, SODIUM CITRATE, OAT EXTRACT (EXTRAIT D'AVOINE), CALENDULA OFFICINALIS FLOWER EXTRACT, MALVA SYLVESTRIS (MALLOW) FLOWER EXTRACT, SODIUM BENZOATE, POTASSIUM SORBATE</p><p>&nbsp;</p><p><em>Produit naturel réalisé de façon artisanale dans l'atelier de So You à Genève.</em></p><p>&nbsp;</p><p><em>Avertissement : Toujours faire un test au préalable en cas de&nbsp;première utilisation. </em></p><p><em>Les bienfaits, propriétés, indications et mode d'utilisation sont communiqués à titre informatif en fonction de la réputation générale provenant d'ouvrages de référence et ne sauraient constituer une information médicale.</em></p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>",a6901a_8c9159626f46413a917c4e662ead1c48~mv2.jpg;a6901a_40ebd01926034e87ab8a430e70d079cc~mv2.jpg,Féminin/Masculin;Soins du visage;Soins de la peau,,Crème visage,32.5,,false,PERCENT,0.0,0,,,Poids,DROP_DOWN,15ml;30ml;50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2968d2f8-3e9c-635e-59fd-586dfcdb9935,Variant,,,,,,,,47.5,true,,,0,0.075,,,,50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2968d2f8-3e9c-635e-59fd-586dfcdb9935,Variant,,,,,,,,,true,,,4,0.075,,,,15ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2968d2f8-3e9c-635e-59fd-586dfcdb9935,Variant,,,,,,,,22.5,true,,,0,0.075,,,,30ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f5c5f86c-8e50-7cfe-7514-a16af6bff66c,Product,Gommages au sucre corps à l'huile d'amande douce,"<p>Habillez-vous d'une peau soyeuse avec nos gommages naturels au sucre pour&nbsp;le corps.</p><p>&nbsp;</p><p>Gommage sans conservateurs, Végan Friendly, respectueux de la nature et non testé sur les animaux. Les huiles/beurres végétaux ont été extraits&nbsp;sans solvant. Le&nbsp;parfum ne contient pas de substance CMR ni phtalate. Testé sous contrôle dermatologique.</p><p>&nbsp;</p><p>Les ingrédients de base de ce produit sont connus pour leur propriétés suivantes :</p><p>&nbsp;</p><p><strong>Sucre: </strong></p><p>Exfoliant doux</p><p><strong>Huile de coco: </strong></p><p>Nourissante, réparatrice et hydratante</p><p><strong>Beurre de karité&nbsp;bio:</strong></p><p>Nourrissants,&nbsp;réparateurs, hydratants, régénérants, assouplissants, restructurants, apaisants, antioxydants</p><p><strong>Huile d'amande douce:</strong></p><p>Anti-inflammatoire, apaisante, emolliente, nourrissante, protectrice, assouplissante, anti-âge et régénérante</p><p><strong>Huile de tournesol:</strong></p><p>Riche en vitamine E et en oméga-6 protège la peau et&nbsp;prévient de la déshydratation</p><p>Anti-âge, emolliente, assouplissante, régénérante et réparatrice</p><p><strong>Vitamine E beta:</strong></p><p>Anti-âge et antioxydant naturel. Contient naturellement des tocophérols mélangés, des stérols végétaux et du squalène aux propriétés antioxydantes. Elle aide à protèger la peau contre les&nbsp;inflammations et les effets néfastes des rayons UV.&nbsp;<strong>&nbsp;</strong></p><p>&nbsp;</p><p>Ce&nbsp;gommage&nbsp;exfolie&nbsp;en douceur les peaux mortes qui rendent la peau terne &nbsp;tout en&nbsp;apportant un toucher soyeux à la peau. La peau est hydratée,&nbsp;lissée&nbsp;et satinée. C'est un&nbsp;complément idéal des soins hydratants pour faire de votre peau rayonnante de santé et de beauté.</p><p>&nbsp;</p><p>Parfum : Spicey avec des notes orientales, &nbsp;épicée, poudrée, vanillée, florale</p><p>&nbsp;</p><p>Le saviez-vous? Vos soins hydratants pour la peau seront plus efficaces sur une peau régulièrement exfoliée.</p><p>&nbsp;</p><p>Utilisez 1 à&nbsp;2 fois par semaine.&nbsp;</p><p>&nbsp;</p><p>Gommage sans conservateurs, Végan Friendly, respectueux de la nature et non testé sur les animaux. Les huiles/beurres végétaux ont été extraits sans solvant. Le parfum ne contient pas de substance CMR ni phtalate. Testé sous contrôle dermatologique. Produits naturels fabriqués de façon artisanale en petite&nbsp;quantité dans l'atelier&nbsp;de</p><p>So You à Genève.</p><p>&nbsp;</p>",a6901a_4ec5f1894ab94d58a5cc0d0ad06bb1b7~mv2.png,Soins de la peau;Vegan,,Gommage parfum Spicey,20.0,,false,PERCENT,0.0,0,,,Parfum/Couleur,DROP_DOWN,Spicey/Bleu,Taille,DROP_DOWN,100g;200g,,,,,,,,,,,,,Base,"<p>Sucre, huile de coco, beurre de karité bio, huile d'amande douce, huile de tournesol, vitamine E beta</p>
",Parfum,"<p>Spicey</p>
",Forme,"<p>Semi Solide</p>
",,,,,,,,,,,,,
product_f5c5f86c-8e50-7cfe-7514-a16af6bff66c,Variant,,,,,,,,10.0,true,,,3,0.075,,,,Spicey/Bleu,,,200g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
